cookie,time,interaction,conversion,conversion_value,channel
Cj0KCQjwxb2XBhDBARIsAOjDZ37QI_-MUwxVTT0jl4zEdIcEbD_ZVIEoo48cCofBCxDyXfENAbwXbR0aAnUREALw_wcB,1659939767,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODGCSZ9Z0cP8sPCsUUHILP9BI8k6a_J9YkPHBlwyIbnwLVAKlFU25AhoCM3kQAvD_BwE,1659973647,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODGCSZ9Z0cP8sPCsUUHILP9BI8k6a_J9YkPHBlwyIbnwLVAKlFU25AhoCM3kQAvD_BwE,1660002847,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODGCSZ9Z0cP8sPCsUUHILP9BI8k6a_J9YkPHBlwyIbnwLVAKlFU25AhoCM3kQAvD_BwE,1660003280,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODGCSZ9Z0cP8sPCsUUHILP9BI8k6a_J9YkPHBlwyIbnwLVAKlFU25AhoCM3kQAvD_BwE,1660003319,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODGCSZ9Z0cP8sPCsUUHILP9BI8k6a_J9YkPHBlwyIbnwLVAKlFU25AhoCM3kQAvD_BwE,1660003371,ViewContent,0,0,google
EAIaIQobChMI-brImN64-QIVwZJmAh25bA2ZEAAYASAAEgLvnPD_BwE,1660013494,Purchase,1,690,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660018668,MemberRegistration,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019288,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019352,AddToCart,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019401,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019551,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019574,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019596,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019618,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019630,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019663,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019688,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019714,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019726,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019746,ViewContent,0,0,google
CjwKCAjw6MKXBhA5EiwANWLODKtclBJaS_x3w3-0JtDXllWr_s1_m23QNYy86YFpqZMmF4-eNd2LMxoCfE0QAvD_BwE,1660019767,ViewContent,0,0,google
