Date,Channel,Cost,Revenue
"Aug 20, 2022",G Shopping,828.65527,1688.1
"Aug 20, 2022",App Install,4807.478227,0
"Aug 19, 2022",Discovery,1559.50428,478.8
"Aug 19, 2022",GDN Non-Smart Display,431.701653,0
"Aug 19, 2022",Search,1040.601367,1627.1
"Aug 19, 2022",G Shopping,863.051764,853.5
"Aug 19, 2022",Facebook,0,444.3
"Aug 19, 2022",App Install,4595.846338,0
"Aug 18, 2022",G Shopping,894.658401,1862.8
"Aug 18, 2022",Facebook,0,344.4
"Aug 18, 2022",Search,998.116164,2341.7
"Aug 18, 2022",Discovery,1316.451702,0
"Aug 18, 2022",GDN Non-Smart Display,380.897574,239.4
"Aug 18, 2022",App Install,4710.255826,0
"Aug 17, 2022",Search,860.773038,3003.4
"Aug 17, 2022",Discovery,1627.859016,0
"Aug 17, 2022",GDN Non-Smart Display,368.336494,164.6
"Aug 17, 2022",G Shopping,871.113302,1796.8
"Aug 17, 2022",App Install,4715.824413,0
"Aug 17, 2022",Facebook,0,139.8
"Aug 16, 2022",Discovery,1594.753825,359.4
"Aug 16, 2022",Search,800.33627,1378.1
"Aug 16, 2022",G Shopping,905.694287,2167.6
"Aug 16, 2022",GDN Non-Smart Display,368.862291,0
"Aug 16, 2022",App Install,4696.284228,0
"Aug 15, 2022",Discovery,1734.601049,0
"Aug 15, 2022",GDN Non-Smart Display,2059.994922,379.2
"Aug 15, 2022",Search,971.56937,2840.3
"Aug 15, 2022",App Install,4595.617903,0
"Aug 15, 2022",G Shopping,721.575332,3419.6
"Aug 14, 2022",Search,1106.251285,2745.6
"Aug 14, 2022",Discovery,1157.632369,339.5
"Aug 14, 2022",Facebook,0,753.7
"Aug 14, 2022",GDN Non-Smart Display,2825.136535,958.9
"Aug 14, 2022",App Install,4693.452733,0
"Aug 14, 2022",G Shopping,763.980294,1966.3
"Aug 13, 2022",Discovery,1658.639298,968.5
"Aug 13, 2022",GDN Non-Smart Display,1884.858603,0
"Aug 13, 2022",Search,1137.221953,2980.3
"Aug 13, 2022",G Shopping,874.078772,1442.1
"Aug 13, 2022",App Install,4729.576476,0
"Aug 12, 2022",GDN Non-Smart Display,1224.142749,0
"Aug 12, 2022",Discovery,2180.021248,249.4
"Aug 12, 2022",Search,1099.052243,1633
"Aug 12, 2022",App Install,4840.028343,0
"Aug 12, 2022",Facebook,0,29.9
"Aug 12, 2022",G Shopping,929.441878,1995.2
"Aug 11, 2022",Discovery,2289.896155,1083.7
"Aug 11, 2022",Search,977.098018,2576.1
"Aug 11, 2022",Facebook,0,928.6
"Aug 11, 2022",GDN Non-Smart Display,855.778797,944.2
"Aug 11, 2022",G Shopping,861.435365,1257.9
"Aug 11, 2022",App Install,4461.428774,0
"Aug 10, 2022",Discovery,2134.778156,304.3
"Aug 10, 2022",GDN Non-Smart Display,436.940805,379.5
"Aug 10, 2022",Search,934.177674,1113.1
"Aug 10, 2022",G Shopping,745.7957,2171.1
"Aug 10, 2022",App Install,4588.365272,0
"Aug 10, 2022",Facebook,0,1188.4
"Aug 9, 2022",Discovery,2311.927496,1063.9
"Aug 9, 2022",Search,1068.246578,6134.2
"Aug 9, 2022",G Shopping,831.963478,1597.3
"Aug 9, 2022",Facebook,0,589.2
"Aug 9, 2022",GDN Non-Smart Display,0.387561,249.7
"Aug 9, 2022",App Install,4651.343323,0
"Aug 8, 2022",Discovery,1772.829541,409.5
"Aug 8, 2022",Search,936.400212,3878.5
"Aug 8, 2022",G Shopping,819.006369,2505.9
"Aug 8, 2022",Facebook,0,704.1
"Aug 8, 2022",App Install,4392.306212,0
"Aug 7, 2022",Discovery,1004.491983,179.7
"Aug 7, 2022",Search,1012.014831,2295.3
"Aug 7, 2022",G Shopping,810.086318,1383.2
"Aug 7, 2022",App Install,4033.986745,0
"Aug 7, 2022",Facebook,0,189.5
"Aug 7, 2022",GDN Non-Smart Display,0,299.8
"Aug 6, 2022",Search,921.799169,658.9
"Aug 6, 2022",Discovery,1207.126619,329.6
"Aug 6, 2022",App Install,4018.75532,0
"Aug 6, 2022",Facebook,0,459.3
"Aug 6, 2022",G Shopping,803.697468,1502.4
"Aug 6, 2022",YouTube,0,359.5
"Aug 5, 2022",Discovery,2007.053731,239.6
"Aug 5, 2022",Search,931.751743,1936.7
"Aug 5, 2022",Facebook,0,429.2
"Aug 5, 2022",App Install,4003.396194,0
"Aug 5, 2022",G Shopping,786.035758,1157.7
"Aug 5, 2022",YouTube,0,244.8
"Aug 4, 2022",Discovery,2013.701354,379.7
"Aug 4, 2022",Facebook,0,394.2
"Aug 4, 2022",Search,1020.15727,1233.7
"Aug 4, 2022",App Install,3988.91,0
"Aug 4, 2022",G Shopping,827.89248,888.7
"Aug 4, 2022",GDN Non-Smart Display,96.165448,0
"Aug 3, 2022",Discovery,1945.231704,489
"Aug 3, 2022",Search,1181.071375,1303.1
"Aug 3, 2022",G Shopping,802.374484,689.1
"Aug 3, 2022",App Install,3916.739641,0
"Aug 3, 2022",Facebook,0,1098.1
"Aug 3, 2022",GDN Non-Smart Display,101.674549,0
"Aug 2, 2022",Discovery,2133.810315,1118.6
"Aug 2, 2022",Search,1050.62365,3089.2
"Aug 2, 2022",Facebook,0,539.4
"Aug 2, 2022",App Install,3938.055941,0
"Aug 2, 2022",GDN Non-Smart Display,99.270521,0
"Aug 2, 2022",G Shopping,670.357296,1857.7
"Aug 1, 2022",Discovery,2095.114887,679.4
"Aug 1, 2022",Search,1360.054328,4366.8
"Aug 1, 2022",Facebook,0,59.9
"Aug 1, 2022",App Install,3971.360409,0
"Aug 1, 2022",G Shopping,725.31143,1982
"Aug 1, 2022",YouTube,0,658.5
"Aug 1, 2022",GDN Non-Smart Display,100.604965,0
"Jul 31, 2022",YouTube,3119.822831,0
"Jul 31, 2022",Search,1343.158073,2806
"Jul 31, 2022",Discovery,1650.218619,584.2
"Jul 31, 2022",GDN Non-Smart Display,200.378803,0
"Jul 31, 2022",Facebook,0,239.5
"Jul 31, 2022",App Install,4046.209703,0
"Jul 31, 2022",Performance Max,0,179.7
"Jul 31, 2022",G Shopping,571.660401,1108.1
"Jul 30, 2022",Discovery,1325.726771,698.8
"Jul 30, 2022",Facebook,0,239.7
"Jul 30, 2022",Search,1354.89036,2796.9
"Jul 30, 2022",YouTube,4008.662124,359.4
"Jul 30, 2022",G Shopping,595.126889,703.4
"Jul 30, 2022",App Install,4083.194901,0
"Jul 30, 2022",GDN Non-Smart Display,73.861349,59.9
"Jul 29, 2022",Discovery,1990.967218,219.6
"Jul 29, 2022",Search,1384.231109,2266.8
"Jul 29, 2022",YouTube,1987.017423,0
"Jul 29, 2022",GDN Non-Smart Display,0,209.8
"Jul 29, 2022",G Shopping,619.825328,1732.3
"Jul 29, 2022",App Install,4085.283731,0
"Jul 29, 2022",Facebook,0,359.4
"Jul 28, 2022",Discovery,1469.031916,419
"Jul 28, 2022",YouTube,3313.032097,0
"Jul 28, 2022",Search,1926.471167,2476.8
"Jul 28, 2022",G Shopping,640.869331,694
"Jul 28, 2022",GDN Non-Smart Display,68.830986,0
"Jul 28, 2022",App Install,4138.653371,0
"Jul 27, 2022",Discovery,1575.124412,159.8
"Jul 27, 2022",GDN Non-Smart Display,2516.929414,239.7
"Jul 27, 2022",Search,1033.974304,3170.8
"Jul 27, 2022",YouTube,3299.25934,0
"Jul 27, 2022",Facebook,0,159.8
"Jul 27, 2022",App Install,4171.218048,0
"Jul 27, 2022",G Shopping,685.81047,1760.7
"Jul 26, 2022",Discovery,1433.131881,1212.4
"Jul 26, 2022",GDN Non-Smart Display,1727.63063,513.5
"Jul 26, 2022",YouTube,3292.479501,0
"Jul 26, 2022",Search,953.295408,988.4
"Jul 26, 2022",App Install,4155.59927,0
"Jul 26, 2022",G Shopping,706.685773,908.5
"Jul 25, 2022",Search,1027.618892,4602.8
"Jul 25, 2022",GDN Non-Smart Display,1246.610184,479.5
"Jul 25, 2022",YouTube,3294.516427,0
"Jul 25, 2022",Discovery,1506.834476,329.4
"Jul 25, 2022",Facebook,0,219.7
"Jul 25, 2022",App Install,4103.006085,0
"Jul 25, 2022",G Shopping,672.575948,1158.3
"Jul 24, 2022",Search,1244.478432,3354.6
"Jul 24, 2022",Discovery,914.244411,639
"Jul 24, 2022",YouTube,3290.121691,0
"Jul 24, 2022",GDN Non-Smart Display,2574.000392,0
"Jul 24, 2022",G Shopping,796.490632,2357
"Jul 24, 2022",App Install,4252.240231,0
"Jul 23, 2022",Discovery,986.447228,159.8
"Jul 23, 2022",Search,1265.730145,1038.2
"Jul 23, 2022",GDN Non-Smart Display,2038.423538,0
"Jul 23, 2022",YouTube,3289.224436,0
"Jul 23, 2022",G Shopping,775.021167,1825.9
"Jul 23, 2022",App Install,3749.66789,0
"Jul 23, 2022",Facebook,0,219.7
"Jul 22, 2022",Discovery,1678.059027,878.7
"Jul 22, 2022",Search,1174.120369,1378.2
"Jul 22, 2022",YouTube,3286.932255,279.3
"Jul 22, 2022",GDN Non-Smart Display,2155.975711,0
"Jul 22, 2022",App Install,4057.453133,0
"Jul 22, 2022",Facebook,0,299.4
"Jul 22, 2022",G Shopping,792.646657,823.8
"Jul 21, 2022",GDN Non-Smart Display,1915.20274,648.6
"Jul 21, 2022",Discovery,1595.47238,159.7
"Jul 21, 2022",YouTube,3285.216504,0
"Jul 21, 2022",Search,1243.037424,1606.6
"Jul 21, 2022",G Shopping,698.256997,1988
"Jul 21, 2022",App Install,4089.977873,0
"Jul 21, 2022",Facebook,0,688.9
"Jul 20, 2022",GDN Non-Smart Display,1980.974629,1222.4
"Jul 20, 2022",YouTube,3277.335593,0
"Jul 20, 2022",Discovery,1799.776544,159.6
"Jul 20, 2022",Facebook,0,679.2
"Jul 20, 2022",Search,1247.499456,1021
"Jul 20, 2022",App Install,4024.088234,0
"Jul 20, 2022",G Shopping,746.392875,1487.8
"Jul 19, 2022",GDN Non-Smart Display,1870.881966,0
"Jul 19, 2022",Discovery,1947.959035,79.9
"Jul 19, 2022",YouTube,3280.748848,584.2
"Jul 19, 2022",Search,1127.656151,2647
"Jul 19, 2022",G Shopping,608.328122,2141.7
"Jul 19, 2022",App Install,4094.893459,0
"Jul 18, 2022",Search,1117.545564,1533
"Jul 18, 2022",Discovery,2104.187821,169.8
"Jul 18, 2022",G Shopping,636.181675,978.6
"Jul 18, 2022",GDN Non-Smart Display,1433.851763,329.8
"Jul 18, 2022",App Install,4083.078913,0
"Jul 18, 2022",YouTube,3281.417764,0
"Jul 17, 2022",YouTube,3342.348331,59.8
"Jul 17, 2022",Discovery,1108.421544,0
"Jul 17, 2022",Search,1171.593618,1232.8
"Jul 17, 2022",GDN Non-Smart Display,1127.475272,159.8
"Jul 17, 2022",Facebook,0,299.6
"Jul 17, 2022",G Shopping,816.156785,1358.7
"Jul 17, 2022",App Install,4041.599022,0
"Jul 16, 2022",App Install,4099.718615,0
"Jul 16, 2022",Search,988.148845,992.9
"Jul 16, 2022",GDN Non-Smart Display,923.604605,0
"Jul 16, 2022",Discovery,1318.252535,519.2
"Jul 16, 2022",YouTube,2740.862277,0
"Jul 16, 2022",Facebook,0,269.4
"Jul 16, 2022",G Shopping,697.624372,1551.4
"Jul 15, 2022",GDN Non-Smart Display,862.681096,159.6
"Jul 15, 2022",Search,870.528389,1033.3
"Jul 15, 2022",Discovery,1666.383,983.1
"Jul 15, 2022",YouTube,2689.838789,0
"Jul 15, 2022",Facebook,0,579
"Jul 15, 2022",G Shopping,706.056594,329.6
"Jul 15, 2022",App Install,3905.076579,0
"Jul 14, 2022",Discovery,1656.865293,828.7
"Jul 14, 2022",Search,948.761604,2145.1
"Jul 14, 2022",GDN Non-Smart Display,969.87558,0
"Jul 14, 2022",YouTube,1954.707236,0
"Jul 14, 2022",G Shopping,855.065433,773.6
"Jul 14, 2022",App Install,4055.978499,0
"Jul 13, 2022",Search,906.876509,1752.3
"Jul 13, 2022",Discovery,1674.750985,829
"Jul 13, 2022",G Shopping,732.568772,2026.9
"Jul 13, 2022",GDN Non-Smart Display,1019.79046,0
"Jul 13, 2022",YouTube,281.140919,0
"Jul 13, 2022",App Install,4095.77986,0
"Jul 13, 2022",Facebook,0,199.8
"Jul 12, 2022",G Shopping,804.650814,758.2
"Jul 12, 2022",Discovery,1825.5044,189.6
"Jul 12, 2022",Search,1299.025144,3056.6
"Jul 12, 2022",GDN Non-Smart Display,537.597671,534.2
"Jul 12, 2022",Facebook,0,189.6
"Jul 12, 2022",App Install,4065.262605,0
"Jul 12, 2022",Performance Max,3.343936,139.8
