path,conversions
(unavailable) > (unavailable) > Direct > Social Network,13
(unavailable) > Organic Search > Direct > Direct,13
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,13
Social Network > Paid Search > Social Network,13
Paid Search > Paid Search > Organic Search > Paid Search > Paid Search > Organic Search,12
Paid Search > Organic Search > Paid Search > Paid Search > Paid Search > Organic Search,12
Paid Search > Organic Search > Paid Search > Organic Search > Direct > Direct,12
Direct > (unavailable) > Direct > Direct > Direct > Direct,12
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,12
Direct > Email > (unavailable),12
Direct > Organic Search > Direct > Direct > Direct > Direct,12
(unavailable) > Direct > Paid Search,12
(unavailable) > Paid Search > Social Network,12
Organic Search > Email > Organic Search,12
Organic Search > Referral > Referral,12
Organic Search > Paid Search > Paid Search > Paid Search > Organic Search,12
Organic Search > Paid Search > Organic Search > Paid Search,12
Organic Search > Paid Search > Organic Search > Paid Search > Paid Search > Direct > Organic Search > Direct > Direct > Paid Search > Paid Search > Paid Search > Organic Search > Direct,12
Organic Search > Organic Search,12
Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,11
Paid Search > Direct > Organic Search > Direct,11
Paid Search > Email > Direct,11
Paid Search > Email > Paid Search,11
Paid Search > Paid Search > Paid Search > Referral,11
Paid Search > Paid Search > Paid Search > Organic Search > Paid Search > Paid Search > Organic Search,11
Paid Search > Social Network > Paid Search > Social Network > Paid Search > Social Network,11
Direct > Direct > (unavailable) > Direct > Direct > Direct,11
Direct > Direct > Direct > Direct > (unavailable) > Direct > Direct > Direct,11
Direct > Direct > Direct > Organic Search > Direct,11
Direct > Direct > Direct > Organic Search > Direct > Direct,11
Direct > Direct > Direct > Organic Search > Paid Search,11
Direct > Direct > Paid Search > Direct > Direct > Direct,11
Direct > Direct > Organic Search > Direct > Direct,11
Direct > Paid Search > Paid Search > Paid Search > Direct,11
Direct > Paid Search > Organic Search > Direct,11
(unavailable) > (unavailable) > Direct > Direct > Direct > Direct,11
(unavailable) > (unavailable) > Direct > Direct > Direct > Direct > Direct > Direct,11
(unavailable) > Direct > (unavailable) > Direct > Direct,11
